뜨로게스테론 프로게스테론
3´-데옥시-3´-플루오로티미딘(18F)(KHP) 3´-데옥시-3´-플루오로티미딘(18F)
야파가니르 아바카비르
아바타셉트(USP) 아바타셉트
야니라테론 아비라테론
아캄프로세이트(USP) 아캄프로세이트
야가보즈 아카보즈
아세클로페낙(KP) 아세클로페낙
야세메다신 아세메타신
아세타졸아미드(KHP) 아세타졸아미드
야시피목스 아시피목스
아시트레틴(KHP) 아시트레틴
야플리버셉트 아플리버셉트
알라세프릴(USP) 알라세프릴
알벤다졸 알벤다졸
알렘투주맙(USP) 알렘투주맙
알렌드론산 알렌드론산
알리스키렌(JP) 알리스키렌
알릴에스트레놀 알릴에스트레놀
알모트립탄(USP) 알모트립탄
알로글립틴 알로글립틴
알프라졸람(JP) 알프라졸람
알뜨로스다딜 알프로스타딜
알트레타민(JP) 알트레타민
야만다딘 아만타딘
암브리센탄(KP) 암브리센탄
암페낙 암페낙
아미카신(USP) 아미카신
야밀로리드 아밀로리드
아미노레불린산(KPC) 아미노레불린산
야미노필린 아미노필린
아미오다론염산염(KP) 아미오다론염산염
야미설뜨리드 아미설프리드
아미트리프틸린(KP) 아미트리프틸린
암로미민 암로디핀
염산아모수라롤(JP) 염산아모수라롤
야목사민 아목사핀
암사크린(USP) 암사크린
야나스트로졸 아나스트로졸
아니둘라펀진(JP) 아니둘라펀진
야리피뜨라졸 아리피프라졸
염산아로티놀올(USP) 염산아로티놀올
삼산화니소 삼산화비소
알테수네이트(USP) 알테수네이트
야스피린 아스피린
에스아테놀롤(JP) 에스아테놀롤
야테놀올 아테놀올
아토목세틴(KPC) 아토목세틴
야토르파스다틴 아토르바스타틴
오라노핀(KHP) 오라노핀
엑시티닙 엑시티닙
아자시티딘(KPC) 아자시티딘
야자치오뜨린 아자치오프린
아젤라스틴염산염(KHP) 아젤라스틴염산염
야조세미드 아조세미드
발로플록사신(KHP) 발로플록사신
염산파니미민 염산바니디핀
바실릭시맙(KHP) 바실릭시맙
파제독시펜 바제독시펜
베클로메타손디프로피오네이트(KPC) 베클로메타손디프로피오네이트
벨리무맙 벨리무맙
벨로테칸(KP) 벨로테칸
베나제뜨릴 베나제프릴
벤다무스틴염산염(KP) 벤다무스틴염산염
베넥세이트 베넥세이트
베니디핀(KPC) 베니디핀
벤세라지드 벤세라지드
벤즈브로마론(KP) 벤즈브로마론
벤즈트로민 벤즈트로핀
벤지다민(JP) 벤지다민
베포다스틴 베포타스틴
베라프로스트(KHP) 베라프로스트
베다메다손 베타메타손
베탁소롤(KPC) 베탁소롤
베다네콜 베타네콜
베바시주맙(JP) 베바시주맙
베반톨롤 베반톨롤
베자피브레이트(KPC) 베자피브레이트
니칼루다미드 비칼루타미드
비소프롤롤(USP) 비소프롤롤
블레오마이신 블레오마이신
블로난세린(JP) 블로난세린
보르테조밉 보르테조밉
보센탄(KPC) 보센탄
브로마제팜 브로마제팜
브롬페낙(JP) 브롬페낙
브롬페리돌 브롬페리돌
브롬페니라민말레산염(KHP) 브롬페니라민말레산염
부실라민 부실라민
부메타니드(KP) 부메타니드
부뜨레노르민 부프레노르핀
부세렐린(KPC) 부세렐린
부설판 부설판
부토르파놀타르타르산염(USP) 부토르파놀타르타르산염
가파지탁셀 카바지탁셀
카드랄라진(KP) 카드랄라진
칼시트리올 칼시트리올
카모스타트(KP) 카모스타트
가나글리플로진 카나글리플로진
칸데사르탄(USP) 칸데사르탄
가페시다빈 카페시타빈
캅토프릴(KHP) 캅토프릴
가르파마제민 카르바마제핀
카비도파(USP) 카비도파
가르니마졸 카르비마졸
카보플라틴(KPC) 카보플라틴
가르모푸르 카르모푸르
카르무스틴(KPC) 카르무스틴
가르테올롤 카르테올롤
카르베딜롤(KHP) 카르베딜롤
쎄레콕시브 쎄레콕시브
셀리프롤롤(JP) 셀리프롤롤
세트로렐릭스 세트로렐릭스
세툭시맙(USP) 세툭시맙
클로람부실 클로람부실
클로르디아제폭사이드(JP) 클로르디아제폭사이드
클로르마미논 클로르마디논
클로로퀸인산염(JP) 클로로퀸인산염
클로르뜨로마진 클로르프로마진
클로르프로틱센(JP) 클로르프로틱센
클로르탈리돈 클로르탈리돈
실라자프릴(KPC) 실라자프릴
실니미민 실니디핀
실로스타졸(JP) 실로스타졸
시나칼세트 시나칼세트
시녹시캄(USP) 시녹시캄
시뜨로피브레이트 시프로피브레이트
시프로플록사신(KP) 시프로플록사신
시스플라틴 시스플라틴
클라드리빈(USP) 클라드리빈
클리노피브레이트 클리노피브레이트
클로바잠(JP) 클로바잠
클로파라빈 클로파라빈
클로피브레이트(KPC) 클로피브레이트
클로미펜 클로미펜
클로미프라민(JP) 클로미프라민
클로나제팜 클로나제팜
클로니딘(JP) 클로니딘
클로닉신 클로닉신
클로라(JP) 클로라
클로스트리미움보툴리늄B형독소 클로스트리디움보툴리늄B형독소
클로티아제팜(KPC) 클로티아제팜
클로자민 클로자핀
콜키신(KP) 콜키신
결합형에스트로겐 결합형에스트로겐
메드록시프로게스테론(KHP) 메드록시프로게스테론
크리조티닙 크리조티닙
시클로페닐(JP) 시클로페닐
시클로포스파마이드 시클로포스파마이드
사이클로스포린(KPC) 사이클로스포린
시뜨로헵다딘 시프로헵타딘
시프로테론(JP) 시프로테론
시다라빈 시타라빈
다비가트란(USP) 다비가트란
다가파진 다카바진
닥티노마이신(USP) 닥티노마이신
다나졸 다나졸
다파글리플로진(JP) 다파글리플로진
다사티닙 다사티닙
다우노루비신(KPC) 다우노루비신
데시다빈 데시타빈
데페리프론(JP) 데페리프론
데플라자코트 데플라자코트
데가렐릭스(USP) 데가렐릭스
델라뜨릴 델라프릴
데노파민(JP) 데노파민
덱사메다손 덱사메타손
덱스브롬페니라민(JP) 덱스브롬페니라민
덱시부뜨로펜 덱시부프로펜
덱스케토프로펜(KPC) 덱스케토프로펜
덱스메데토미딘 덱스메데토미딘
디아제팜(KP) 디아제팜
미클로페낙 디클로페낙
디에노에스트롤(KP) 디에노에스트롤
미에노게스트 디에노게스트
디플루니살(KPC) 디플루니살
미하이드로에르고다민 디하이드로에르고타민
딜티아젬(USP) 딜티아젬
미페닐피라린 디페닐피라린
에티드로네이트(KPC) 에티드로네이트
도세탁셀 도세탁셀
돔페리돈(JP) 돔페리돈
도리페넴 도리페넴
도시핀(JP) 도시핀
독사조신 독사조신
독시플루리딘(KHP) 독시플루리딘
독소루니신 독소루비신
독시사이클린(KPC) 독시사이클린
D-페니실라민 D-페니실라민
드로네다론(KHP) 드로네다론
두다스테리드 두타스테리드
디드로게스테론(KP) 디드로게스테론
에파스틴 에바스틴
에파비렌즈(KP) 에파비렌즈
에폰리미민 에폰리디핀
에모르파존(JP) 에모르파존
엠파글리플로진 엠파글리플로진
에날라프릴(KP) 에날라프릴
에녹시다빈 에녹시타빈
에녹사신(KHP) 에녹사신
엔다가폰 엔타카폰
에피나스틴(KHP) 에피나스틴
에피네뜨린 에피네프린
에피루비신(JP) 에피루비신
에뜨로사르탄 에프로사르탄
에고르타민(KHP) 에고르타민
에리불린 에리불린
엘로티닙(KP) 엘로티닙
